SKU;Description;UniteDeMesure
002060;AIRELLES AU NATUREL (110G NE) 290G;BOC
002069;GRIOTTES DENOYAUTEES AU SIROP (520G NE) 1KG;BOC
002071;CERISES NOIRES DENOYAUTEES AU SIROP (540G NE) 1KG;BOC
002072;SAUCE PIMENT SWEET& SOUR 900G;POT
002074;SAUCE TERIYAKI 1,9L;BLLE
002075;SAKE DE RIZ 13,5% 2L;BLLE
002079;SAUCE SOJA KIKKOMAN REDUITE EN SEL 250ML;BLLE
002084;VERJUS DU PERIGORD 50CL;BLLE
002090;CONFIT DE VIN DE SAUTERNE BIO 120G;POT
002093;CAVIAR D'AUBERGINE AUX EPICES BIO 100G;POT
002100;PECHES BLCHES ENT12 FRUITS 2L5;BTE
002202;GRIOTTINES ORIGINAL 15% SEAU 3L;SE
002228;GRIOTTINES DECOR 25% PET 1L;PET
002234;GRIOTTINES ORIGINAL 15% PET 1L;PET
002236;GRIOTTINES TRAITEUR 12% PET 1L;PET
002300;PATE MARRON DESCOURS 4/4 900G;BTE
002301;CREME MARRON DESCOUR POCHE 1KG;DOY
002302;CREME DE CHATAIGNE D'ARDECHE AOP BIO 325G;BOC
002303;BRISURES EXTRA DE MARRON PRECUITES 1KG;POC
002306;CHATAIGNES D'ARDECHE ENTIERES AOP 420G;BOC
002307;CHATAIGNES ENTIERES CUITES SACHET 500G;DOY
002312;MARRONS ENTIERS CUITS SOUS VIDE PONTHIER 400G;BQ
002315;MARRONS ENTIERS AU NATUREL 72CL 430G;BOC
002317;PUREE DE MARRON SANS SUCRE AJOUTE 400G;POT
002318;FARINE DE CHATAIGNE POT 450G;POT
002321;CREME MARRONS FAUGIER 4/4 992G;BTE
002325;PATE MARRONS CONFIT EXTRA FAUGIER 4/4 1 KG;BTE
002326;FARINE DE CHATAIGNE 1KG;SAC
002327;PUREE DE MARRONS FAUGIER 4/4 879G;BTE
002350;PUREE D'ABRICOT PONTHIER 1KG;POC
002351;PUREE D'ANANAS PONTHIER 1KG;POC
002352;PUREE DE BANANE PONTHIER 1KG;POC
002353;PUREE DE CASSIS PONTHIER 1KG;POC
002354;PUREE DE CITRON JAUNE 100% PONTHIER 1KG;POC
002355;PUREE DE CITRON VERT 100% PONTHIER 1KG;POC
002356;PUREE DE NOIX DE COCO INTENSE PONTHIER 1KG;POC
002358;PUREE DE COROSSOL PONTHIER 1KG;POC
002359;PUREE DE FRAISE PONTHIER 1KG;POC
002360;PUREE DE FRAMBOISE PONTHIER 1KG;POC
002361;PUREE DE POIVRON ROUGE 100% PONTHIER 1KG;POC
002362;PUREE DE GRENADE PONTHIER 1KG;POC
002363;PUREE DE GRIOTTE PONTHIER 1KG;POC
002364;PUREE DE GROSEILLE PONTHIER 1KG;POC
002365;PUREE DE LITCHI PONTHIER 1KG;POC
002366;PUREE DE MANDARINE 100% PONTHIER 1KG;POC
002367;PUREE DE MANGUE ALPHONSO PONTHIER 1KG;POC
002368;PUREE DE FRUITS ROUGES PONTHIER 1KG;POC
002369;PUREE DE MURE PONTHIER 1KG;POC
002370;PUREE DE MYRTILLE PONTHIER 1KG;POC
002371;PUREE D'ORANGE SANGUINE 100% PONTHIER 1KG;POC
