N¯;Description;Description de recherche;Stocks;QtÇ sur commande vente;QtÇ sur commande achat;Article de substitution;BloquÇ;PrÇ-commande;Vente bloquÇe;Achat bloquÇ;N¯ fournisseur;1-FAMILLE ;2-Ss Famille ;3-Ss Ss Famille ;4-Ss Ss Ss Famille;5-MARQUE;6-SEMMARIS;7-NUMERO UTI
104989;097991 - COUPE PATE ARRONDI SOUPLE - L'UNITE  (1 X 1 UNITê );;0,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100742;NON ALIM;ACUIS;USTPAT;;GAFI;;N
104990;097992 - COUPE PATE ARRONDI RIGIDE - L'UNITE  (1 X 1 UNITê );;0,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100742;NON ALIM;ACUIS;USTPAT;;GAFI;;N
104991;097993 - COUPE PATE CARRE SOUPLE - L'UNITE  (1 X 1 UNITê );;0,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100742;NON ALIM;ACUIS;USTPAT;;GAFI;;N
104992;097998 - LAME DE RECHANGE 20 MM 50 CM POUR SCIE DE 45CM  (1 X 1 UNITê );;0,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100742;NON ALIM;ACUIS;COUTEAU;;GAFI;;N
104993;097999 - SCIE ACIER CARBONE 45 CM LAME 20MM POIGNEE NOIR  (1 X 1 UNITê );;0,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100742;NON ALIM;ACUIS;COUTEAU;;GAFI;;N
104994;098001 - ROND 23 CM -CERAMIQUE PREMIUM  (1 X 1 UNITê );;3,;3,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100742;NON ALIM;ACUIS;COUTEAU;;GAFI;;N
104995;098008 - FUSIL ROND 23 CM SUR CARTE  (1 X 1 UNITê );;0,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100742;NON ALIM;ACUIS;COUTEAU;;GAFI;;N
104996;098010 - AIGUISEUR ELECTRIQUE 2 MEULES  (1 X 1 UNITê );;0,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100742;NON ALIM;ACUIS;COUTEAU;;GAFI;;N
104997;098014 - OVALE 30 CM MANCHE BI-MATIERE JAUNE  (1 X 1 UNITê );;0,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100742;NON ALIM;ACUIS;COUTEAU;;GAFI;;N
104998;098071 - REDSTEEL II AVEC SOCLE INOX  (1 X 1 UNITê );;0,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100742;NON ALIM;ACUIS;COUTEAU;;GAFI;;N
104999;630002 - AIGUILLE A BRIDER DROIT INOX L. 25 CM - CARTE DE 5  (1 X 5 UNITêS );;0,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100742;NON ALIM;ACUIS;PREPAR;;GAFI;;N
105000;CISEAUX LAME INOX CRANTEE - 630045 - (1 X 1 UNITê );;2,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100742;NON ALIM;ACUIS;COUTEAU;;GAFI;;N
105001;630046 - TRANCHEUR POISSON MICRO-DENTE 35 CM MANCHE BI-MATIERE NOIR/BLEU  (1 X 1 UNITê );;0,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100742;NON ALIM;ACUIS;COUTEAU;;GAFI;;N
105002;630048 - OVALE 30 CM MANCHE PLASTIQUE NOIR  (1 X 1 UNITê );;0,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100742;NON ALIM;ACUIS;COUTEAU;;GAFI;;N
105003;630049 - FUSIL ROND 30 CM- MANCHE PLASTIQUE NOIR  (1 X 1 UNITê );;0,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100742;NON ALIM;ACUIS;COUTEAU;;GAFI;;N
105004;050950 - DZ COUTEAU TABLE ZOE NW  (1 X 12 UNITêS );;0,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100742;NON ALIM;ARTTABLE;COLLECTIV;;GAFI;;N
105005;050951 - DZ FOURCHETTE TABLE ZOE NW  (1 X 12 UNITêS );;0,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100742;NON ALIM;ARTTABLE;COLLECTIV;;GAFI;;N
105006;050952 - DZ CUILLERE TABLE ZOE NW  (1 X 12 UNITêS );;0,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100742;NON ALIM;ARTTABLE;COLLECTIV;;GAFI;;N
105007;050953 - DZ CUILLERE CAFE ZOE NW  (1 X 12 UNITêS );;0,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100742;NON ALIM;ARTTABLE;COLLECTIV;;GAFI;;N
105008;050960 - DZ COUTEAU TABLE VIEUX PARIS  (1 X 12 UNITêS );;0,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100742;NON ALIM;ARTTABLE;COUVERT;;GAFI;;N
105009;050961 - DZ FOURCHETTE TABLE VIEUX PARIS  (1 X 12 UNITêS );;0,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100742;NON ALIM;ARTTABLE;COUVERT;;GAFI;;N
105010;050962 - DZ CUILLERE TABLE VIEUX PARIS  (1 X 12 UNITêS );;0,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100742;NON ALIM;ARTTABLE;COUVERT;;GAFI;;N
105011;050963 - DZ CUILLERE CAFE VIEUX PARIS  (1 X 12 UNITêS );;0,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100742;NON ALIM;ARTTABLE;COUVERT;;GAFI;;N
105012;050970 - DZ COUTEAU TABLE MIA  (1 X 12 UNITêS );;0,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100742;NON ALIM;ARTTABLE;COUVERT;;GAFI;;N
105013;050971 - DZ FOURCHETTE TABLE MIA  (1 X 12 UNITêS );;0,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100742;NON ALIM;ARTTABLE;COUVERT;;GAFI;;N
105014;050972 - DZ CUILLERE TABLE MIA  (1 X 12 UNITêS );;0,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100742;NON ALIM;ARTTABLE;COUVERT;;GAFI;;N
105015;050973 - DZ CUILLERE CAFE MIA  (1 X 12 UNITêS );;0,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100742;NON ALIM;ARTTABLE;COUVERT;;GAFI;;N
105016;050980 - DZ COUTEAU TABLE NINA NW  (1 X 12 UNITêS );;0,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100742;NON ALIM;ARTTABLE;COUVERT;;GAFI;;N
105017;050981 - DZ FOURCHETTE TABLE NINA  (1 X 12 UNITêS );;0,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100742;NON ALIM;ARTTABLE;COUVERT;;GAFI;;N
105018;050982 - DZ CUILLERE TABLE NINA  (1 X 12 UNITêS );;0,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100742;NON ALIM;ARTTABLE;COUVERT;;GAFI;;N
105019;050983 - DZ CUILLERE CAFE NINA  (1 X 12 UNITêS );;0,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100742;NON ALIM;ARTTABLE;COUVERT;;GAFI;;N
105020;050999 - LOUCHE PIZZA 168ML  (1 X 1 UNITê );;0,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100742;NON ALIM;ACUIS;PREPAR;;GAFI;;N
105021;046999 - ASYMETRIQUE ASS CREUSE 23CM  (12 X 1 UNITê );;0,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100742;NON ALIM;ARTTABLE;VAISSE;;GAFI;;N
105025;047003 - FLORA / ASYMETRIQUE - TASSE A CAFE  (6 X 1 UNITê );;0,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100742;NON ALIM;ARTTABLE;VAISSE;;GAFI;;N
105027;047005 - MONALYSA - ASSIETTE DE PRESENTATION  (6 X 1 UNITê );;0,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100742;NON ALIM;ARTTABLE;VAISSE;;GAFI;;N
105028;047006 - MONALYSA ASSIETTE PLATE RONDE 27CM  (6 X 1 UNITê );;0,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100742;NON ALIM;ARTTABLE;VAISSE;;GAFI;;N
105029;047007 - MONALYSA ASSIETTE PLATE RONDE 21CM  (6 X 1 UNITê );;0,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100742;NON ALIM;ARTTABLE;VAISSE;;GAFI;;N
105030;047008 - ASYMETRIQUE ASS DE PRESENTATION 32  (3 X 1 UNITê );;0,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100742;NON ALIM;ARTTABLE;VAISSE;;GAFI;;N
105031;047009 - ASYMETRIQUE ASS PLATE RONDE 28 CM  (12 X 1 UNITê );;0,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100742;NON ALIM;ARTTABLE;VAISSE;;GAFI;;N
105032;047010 - ASYMETRIQUE ASSIETTE A DESSERT 23CM  (12 X 1 UNITê );;0,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100742;NON ALIM;ARTTABLE;VAISSE;;GAFI;;N
105033;047011 - ASYMETRIQUE - BOL 22 CL  (6 X 1 UNITê );;0,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100742;NON ALIM;ARTTABLE;VAISSE;;GAFI;;N
105034;047012 - ASYMETRIQUE - BOL 10 CL  (6 X 1 UNITê );;0,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100742;NON ALIM;ARTTABLE;VAISSE;;GAFI;;N
105035;047013 - ASYMETRIQUE - COUPELLE 6 CL  (6 X 1 UNITê );;0,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100742;NON ALIM;ARTTABLE;VAISSE;;GAFI;;N
105036;047014 - ASYMETRIQUE - THEIERE 40 CL  (1 X 1 UNITê );;0,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100742;NON ALIM;ARTTABLE;VAISSE;;GAFI;;N
105037;047015 - ASYMETRIQUE - CREMIER 20 CL  (6 X 1 UNITê );;0,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100742;NON ALIM;ARTTABLE;VAISSE;;GAFI;;N
105038;047016 - ASYMETRIQUE - SUCRIER 25 CL  (1 X 1 UNITê );;0,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100742;NON ALIM;ARTTABLE;VAISSE;;GAFI;;N
105039;047018 - ASYMETRIQUE - SOUCOUPE CAFE X MM  (12 X 1 UNITê );;0,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100742;NON ALIM;ARTTABLE;VAISSE;;GAFI;;N
105040;047019 - ASYMETRIQUE - TASSE A THE X CL  (6 X 1 UNITê );;0,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100742;NON ALIM;ARTTABLE;VAISSE;;GAFI;;N
105041;047020 - ASYMETRIQUE - SOUCOUPE THE X MM VOIR 8003415/12  (6 X 1 UNITê );;0,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100742;NON ALIM;ARTTABLE;VAISSE;;GAFI;;N
105042;047021 - ASYMETRIQUE - TASSE A DEJEUNER X CL  (6 X 1 UNITê );;0,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100742;NON ALIM;ARTTABLE;VAISSE;;GAFI;;N
105043;047022 - ASYMETRIQUE - SOUCOUPE DEJEUNER X M  (6 X 1 UNITê );;0,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100742;NON ALIM;ARTTABLE;VAISSE;;GAFI;;N
105048;000191 - SET DE 4 CUILLERES/PAILLES NOIR AVE BROSSE DE NETTOYAGE 20.5 CM  (1 X 1 UNITê );;0,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100742;NON ALIM;ARTTABLE;VERRECAFET;;GAFI;;N
105049;001508 - PLANCHE RONDE AVEC POIGNEE EN BOIS D'ACACIA 35X24.5X1.5CM-DK-ACA-3080  (1 X 1 UNITê );;0,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100742;NON ALIM;ARTTABLE;SERVIC;;GAFI;;N
105051;001554 - POINT-VIRGULE WIRE PANIER NOIR D 30CM H 13CM  (1 X 1 UNITê );;0,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100742;NON ALIM;ARTTABLE;SERVIC;;GAFI;;N
105052;001555 - POINT-VIRGULE COUTEAU A PIZZA ET PLANCHE A SERVIR EN ACACIA 43.5X32.  (1 X 1 UNITê );;0,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100742;NON ALIM;ARTTABLE;SERVIC;;GAFI;;N
105055;001560 - POINT-VIRGULE PLANCHE EN BOIS ACACIA A/POIGNEE EN CUIVRE 60X12X2  (1 X 1 UNITê );;0,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100742;NON ALIM;ARTTABLE;SERVIC;;GAFI;;N
105056;001561 - POINT-VIRGULE PLANCHE EN BOIS D'ACACIA AVEC POIGNEE EN CUIVRE 50X  (1 X 1 UNITê );;0,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100742;NON ALIM;ARTTABLE;SERVIC;;GAFI;;N
105057;001562 - KILNER DISTRIBUTEUR DE BOISSON ROND AVEC ROBINET 5L  (2 X 1 UNITê );;0,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100742;NON ALIM;ARTTABLE;SERVIC;;GAFI;;N
105063;001568 - POINT-VIRGULE COUVERTS A SALADE EN PLA GRIS FONCE 25CM  (6 X 1 UNITê );;0,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100742;NON ALIM;ACUIS;PREPAR;;GAFI;;N
105064;501576 - PRESSE A HAMBURGER  (1 X 1 UNITê );;0,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100742;NON ALIM;ACUIS;PREPAR;;GAFI;;N
105065;501581 - POINT-VIRGULE PLANCHE BAMBOU 40X30  (1 X 1 UNITê );;0,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100742;NON ALIM;ARTTABLE;SERVIC;;GAFI;;N
105066;501582 - POINT-VIRGULE PLANCHE BAMBOU 35X25  (1 X 1 UNITê );;0,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100742;NON ALIM;ARTTABLE;SERVIC;;GAFI;;N
105067;501583 - POINT-VIRGULE PLANCHE BAMBOU 28X20  (1 X 1 UNITê );;0,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100742;NON ALIM;ARTTABLE;SERVIC;;GAFI;;N
105069;630215 - PLANCHE POIGNEE BOIS 60X15X1.5CM  (1 X 1 UNITê );;0,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100742;NON ALIM;ARTTABLE;SERVIC;;GAFI;;N
105070;630223 - PROTECTION POUR OUVRIR LES HUITRES. EN SILICONE. PAR NIK BAEYE  (1 X 1 UNITê );;0,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100742;NON ALIM;ARTTABLE;SERVIC;;GAFI;;N
105071;901571 - DISTRIBUTEUR DE BOISSON AVEC ROBINET - 3.6 L - AVEC SUPPORT META  (1 X 1 UNITê );;0,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100742;NON ALIM;ARTTABLE;SERVIC;;GAFI;;N
105072;901572 - DISTRIBUTEUR DE BOISSON AVEC BOUCHON DE LIEGE 5.6L  (2 X 1 UNITê );;0,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100742;NON ALIM;ARTTABLE;SERVIC;;GAFI;;N
105073;097100 - LOT DE 5 CASS 14/16/18/20/24  (1 X 1 UNITê );;0,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100742;NON ALIM;ACUIS;CUISSON;;GAFI;;N
105074;511318 - POELE INOX ANTI ADHESIF D 20 VOIR DEPANNAGE CODE 097320  (1 X 1 UNITê );;0,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100742;NON ALIM;ACUIS;CUISSON;;GAFI;;N
105075;511319 - POELE INOX ANTI ADHESIF D 24 VOIR DEP 097322  (1 X 1 UNITê );;0,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100742;NON ALIM;ACUIS;CUISSON;;GAFI;;N
105076;511320 - POELE INOX ANTI ADHESIF D 28  (1 X 1 UNITê );;0,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100742;NON ALIM;ACUIS;CUISSON;;GAFI;;N
105077;511321 - POELE INOX ANTI ADHESIF D 32 DEPANNAGE LACOR 51633  (1 X 1 UNITê );;0,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100742;NON ALIM;ACUIS;CUISSON;;GAFI;;N
105078;511322 - POELE INOX ANTI ADHESIF D 36 DEP LACOR 51637  (1 X 1 UNITê );;0,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100742;NON ALIM;ACUIS;CUISSON;;GAFI;;N
105079;580304 - SAUTEUSE CONIQUE INOX 24 CM ATT CODE CATA 585304  (1 X 1 UNITê );;0,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100742;NON ALIM;ACUIS;CUISSON;;GAFI;;N
105080;585060 - FAITOUT SANS COUVERCLE D28 DEPANNAGE CODE 085078  (1 X 1 UNITê );;0,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100742;NON ALIM;ACUIS;CUISSON;;GAFI;;N
105081;585064 - FAITOUT SANS COUVERCLE D32 RUPTURE VOIR DEP LACOR 50033 AV CV  (1 X 1 UNITê );;0,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100742;NON ALIM;ACUIS;CUISSON;;GAFI;;N
105082;585066 - FAITOUT SANS COUVERCLE D36 VOIR DEPANNAGE LACOR 50037 AV COUV  (1 X 1 UNITê );;0,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100742;NON ALIM;ACUIS;CUISSON;;GAFI;;N
105083;585067 - FAITOUT SANS COUVERCLE D20 VOIR CODE 081643  (1 X 1 UNITê );;0,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100742;NON ALIM;ACUIS;CUISSON;;GAFI;;N
105084;585068 - FAITOUT SANS COUVERCLE D40 VOIR DEPANNAGE 085086  (1 X 1 UNITê );;0,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100742;NON ALIM;ACUIS;CUISSON;;GAFI;;N
105085;585069 - FAITOUT SANS COUVERCLE D24 VOIR CODE 085076  (1 X 1 UNITê );;0,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100742;NON ALIM;ACUIS;CUISSON;;GAFI;;N
105086;585070 - FAITOUT SANS COUVERCLE D45 VOIR DEP LACOR 50046 AV COUV  (1 X 1 UNITê );;0,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100742;NON ALIM;ACUIS;CUISSON;;GAFI;;N
105087;585092 - MARMITE TRAITEUR S/COUV D28 VOIR CODE 85092  (1 X 1 UNITê );;0,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100742;NON ALIM;ACUIS;CUISSON;;GAFI;;N
105088;585096 - MARMITE TRAITEUR SS COUV D32 VOIR 085096  (1 X 1 UNITê );;0,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100742;NON ALIM;ACUIS;CUISSON;;GAFI;;N
105089;585098 - MARMITE TRAITEUR SS COUV D36 VOIR 085098  (1 X 1 UNITê );;0,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100742;NON ALIM;ACUIS;CUISSON;;GAFI;;N
105090;585100 - MARMITE TRAITEUR S/COUV D40 50LITRES VOIR 085100  (1 X 1 UNITê );;0,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100742;NON ALIM;ACUIS;CUISSON;;GAFI;;N
105091;585101 - MARMITE TRAITEUR S/COUV D45 VOIR CODE 085102  (1 X 1 UNITê );;0,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100742;NON ALIM;ACUIS;CUISSON;;GAFI;;N
105092;585106 - CASSEROLE SANS COUV 14CM HT7.5INOX VOIR CODE DEP 097081  (1 X 1 UNITê );;0,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100742;NON ALIM;ACUIS;CUISSON;;GAFI;;N
105093;585108 - CASSEROLE SANS COUV 16CM HT7.5 INOX VOIR DEP CODE 085108  (1 X 1 UNITê );;0,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100742;NON ALIM;ACUIS;CUISSON;;GAFI;;N
105094;585110 - CASSEROLE SANS COUV 18CM HT10.5INOX DEPANNAGE LACOR 50218  (1 X 1 UNITê );;0,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100742;NON ALIM;ACUIS;CUISSON;;GAFI;;N
105095;585112 - CASSEROLE SANS COUV 20CM HT10.5INOX DEPANNAGE LACOR 50220  (1 X 1 UNITê );;0,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100742;NON ALIM;ACUIS;CUISSON;;GAFI;;N
105096;585114 - CASSEROLE SANS COUV 24CM HT12.5INOX VOIR CODE DEPANNAGE 085114  (1 X 1 UNITê );;0,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100742;NON ALIM;ACUIS;CUISSON;;GAFI;;N
105097;585116 - CASSEROLE SANS COUV 28CM HT13INOX DEPANNAGE LACOR 50229N  (1 X 1 UNITê );;0,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100742;NON ALIM;ACUIS;CUISSON;;GAFI;;N
105098;585200 - POELE INOX FOND SANDWICH 20 CM DEP 585199  (1 X 1 UNITê );;0,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100742;NON ALIM;ACUIS;CUISSON;;GAFI;;N
105099;585201 - POELE INOX FOND SANDWICH 24 CM VOIR LACOR 51624  (1 X 1 UNITê );;0,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100742;NON ALIM;ACUIS;CUISSON;;GAFI;;N
105100;585202 - POELE INOX FOND SANDWICH 28 CM DEPANNAGE LACOR 51628  (1 X 1 UNITê );;0,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100742;NON ALIM;ACUIS;CUISSON;;GAFI;;N
105101;585203 - POELE INOX FOND SANDWICH 32 CM VOIR CODE 097304  (1 X 1 UNITê );;0,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100742;NON ALIM;ACUIS;CUISSON;;GAFI;;N
105102;585204 - POELE INOX FOND SANDWICH 36 CM DEPANNAGE LACOR 51636  (1 X 1 UNITê );;0,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100742;NON ALIM;ACUIS;CUISSON;;GAFI;;N
105103;585300 - SAUTEUSE INOX 24 CM DEPANNAGE LACOR 50625  (1 X 1 UNITê );;0,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100742;NON ALIM;ACUIS;CUISSON;;GAFI;;N
105104;585301 - SAUTEUSE INOX 28 CM VOIR DEPANNAGE CODE 097201  (1 X 1 UNITê );;0,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100742;NON ALIM;ACUIS;CUISSON;;GAFI;;N
105105;585302 - SAUTEUSE CONIQUE INOX 16 CM  (1 X 1 UNITê );;0,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100742;NON ALIM;ACUIS;CUISSON;;GAFI;;N
105106;585303 - SAUTEUSE CONIQUE INOX 20 CM  (1 X 1 UNITê );;0,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100742;NON ALIM;ACUIS;CUISSON;;GAFI;;N
105107;597087 - COUVERCLE INOX D28 VOIR CODE 097087  (1 X 1 UNITê );;0,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100742;NON ALIM;ACUIS;CUISSON;;GAFI;;N
105108;597088 - COUVERCLE INOX D36 DEPANNAGE LACOR 50936  (1 X 1 UNITê );;0,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100742;NON ALIM;ACUIS;CUISSON;;GAFI;;N
105109;597089 - COUVERCLE INOX D40 VOIR CODE 097089  (1 X 1 UNITê );;0,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100742;NON ALIM;ACUIS;CUISSON;;GAFI;;N
105110;597090 - COUVERCLE INOX D45 VOIR CODE REMPLT 097090  (1 X 1 UNITê );;0,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100742;NON ALIM;ACUIS;CUISSON;;GAFI;;N
105111;597092 - COUVERCLE INOX D32 VOIR DEP 097082  (1 X 1 UNITê );;0,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100742;NON ALIM;ACUIS;CUISSON;;GAFI;;N
105112;597094 - COUVERCLE INOX D24 CODE DEPANNAGE 97086  (1 X 1 UNITê );;0,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100742;NON ALIM;ACUIS;CUISSON;;GAFI;;N
105113;975835 - TABLE A INDUCTION PROF  (1 X 1 UNITê );;0,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100742;NON ALIM;ACUIS;GROSMAT;;GAFI;;N
105114;975837 - TABLE A INDUCTION WOK 975837  (1 X 1 UNITê );;0,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100742;NON ALIM;ACUIS;GROSMAT;;GAFI;;N
105115;000851 - CHAFING DISH INOX 1/1 13.5L AVEC BRULEURS  (1 X 1 UNITê );;0,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100742;NON ALIM;ARTTABLE;SERVIC;;GAFI;;N
105116;000855 - APPAREIL CHAUFFANT ELECT SS THERMOS  (1 X 1 UNITê );;0,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100742;NON ALIM;ARTTABLE;SERVIC;;GAFI;;N
105117;901502 - DISTRIBUTEUR CEREALES DIAMETRE SORTIE CERERALES 5CM  (1 X 1 UNITê );;0,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100742;NON ALIM;ARTTABLE;SERVIC;;GAFI;;N
105118;980812 - ELECTRIC BAIN-MARIE INOX GN 1/1 230 230V / 1200W AV ROBINET DE VIDANGE  (1 X 1 UNITê );;0,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100742;NON ALIM;ACUIS;GROSMAT;;GAFI;;N
105119;980816 - ELECTRIC BAIN-MARIE INOX GN 1/1 230 230V / 1200W SANS ROBINET VIDANGE  (1 X 1 UNITê );;0,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100742;NON ALIM;ACUIS;GROSMAT;;GAFI;;N
105120;523030 - FOUR A MICRO-ONDES CAFETERIA 25L  (1 X 1 UNITê );;0,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100742;NON ALIM;ACUIS;GROSMAT;;GAFI;;N
105124;043285 - MUG SET DE 6 COL ASSORTIS 10CL JSQ EPUISEMENT  (1 X 6 UNITêS );;0,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100742;NON ALIM;ARTTABLE;VAISSE;;GAFI;;N
105130;043325 - SALADIER CARRE 147X147X77  (4 X 1 UNITê );;0,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100742;NON ALIM;ARTTABLE;COLLECTIV;;GAFI;;N
105131;043327 - SALADIER CARRE 200X200X85  (3 X 1 UNITê );;0,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100742;NON ALIM;ARTTABLE;COLLECTIV;;GAFI;;N
105132;043328 - SALADIER CARRE 254X254X86  (3 X 1 UNITê );;0,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100742;NON ALIM;ARTTABLE;COLLECTIV;;GAFI;;N
