Sku;Description;ReduxCoef
2370;PUREE DE MYRTILLE PONTHIER 1KG;
2372;PUREE DE PASSION PONTHIER 1KG;
2373;PUREE DE PECHE BLANCHE PONTHIER 1KG;
2374;PUREE DE POIRE PONTHIER 1KG;
2375;PUREE DE POMME VERTE PONTHIER 1KG;
2390;COULIS DE FRUITS EXOTIQUES PONTHIER 1KG;
2392;COULIS DE FRAMBOISE PONTHIER 1KG;
2393;COULIS DE FRUITS ROUGES PONTHIER 1KG;
2396;COULIS DE FRAISE & YUZU PONTHIER 1KG;
2397;COULIS DE MANGUE PONTHIER 1KG;
2398;COULIS DE POIRE PONTHIER 1KG;
3720;NOUGATS A ENROBER X 1 KG;
3850;PRALINE ROSE SURFINE 1 KG;
3909;GROS CUILLERS PATISSIER 1.6 KG;
3919;BISCUITS ROSES REIMS 9X250G;
4093;LENTILLES VERTES BERRY SACHET PLASTIQUE 500G;
4097;DAKATINE PATE D'ARACHIDE 4/4 850g;
4103;RIZ LONG ARBORIO 1KG;
4104;RIZ LONG BASMATI ELEPHANT 5KG;
4105;RIZ LONG BASMATI ELEPHANT 1KG;
4111;RIZ PARFUME JASMINE TILDA 1KG;
4114;LENTILLES CORAIL 1KG;
4136;RIZ ROND 1KG;
4144;FLOCON D'AVOINE 500G;
4147;CROZETS NATURE 5 KG;
4151;COUSCOUS DARI FIN 1KG;
4166;PERLES DU JAPON 350G;
4168;TAPIOCA FIN  EXPRESS 300 G;
4220;CONCHIGLIONI RIGATI Nø126 500G;
4221;ORZO (RISO) Nø 74 500 G;
4226;LASAGNES AUX OEUFS Nø112 500G;
4228;ZITA Nø18 500G;
4232;TRIO DE QUINOA BIO 500G;
4252;TAGLIATELLE NOIR DE SEPIA X 3 KG;
4256;TAGLIATELLES CEPES & BOLETS 250G;
4257;TAGLIATELLES AU NOIR DE SEPIA 250G;
4258;TAGLIATELLES AU CURRY 250G;
4264;TAGLIATELLES A LA TRUFFES DE LA SAINT JEAN 250G;
4265;TAGLIATELLES AU SAFRAN 250G;
4377;OLIVES TAGGIASCHE DENOYOTEES ELENA 300 G;
4393;FEUILLES CAPRES A L'HUILE D'OLIVE (41G NE) 100G;
4397;FREGOLA SARDA 1KG;
4629;VINAIGRE FRAMBOISE 50CL;
4630;VINAIGRE VIN ROUGE 50CL;
4662;VINAIGRE XERES 1L;
4664;VINAIGRE CIDRE NORMANDIE 1 L;
